source	target	freq
.	.	218879
،	,	206667
/	/	78486
:	:	59845
الطبعة	al-Ṭabʻah	52268
محمد	Muḥammad	44298
1	1	40483
عبد	ʻAbd	40301
في	fī	38586
بن	ibn	34338
دار	Dār	26451
؛	;	25253
أحمد	Aḥmad	15292
تأليف	taʼlīf	13612
الله	Allāh	13554
علي	ʻAlī	13253
العربية	al-ʻArabīyah	11192
للنشر	lil-Nashr	10678
من	min	9920
والتوزيع	wa-al-Tawzīʻ	9648
الأولى	al-ūlá	8364
]	]	8196
[	[	7495
الدين	al-Dīn	7315
العربي	al-ʻArabī	7144
والنشر	wa-al-Nashr	6793
سلسلة	Silsilat	6637
مكتبة	Maktabat	6478
مركز	Markaz	6415
أبو	Abū	6191
حسن	Ḥasan	5773
دراسة	dirāsah	5657
محمود	Maḥmūd	5456
إبراهيم	Ibrāhīm	5023
ابن	Ibn	4957
على	ʻalá	4637
الرحمن	al-Raḥmān	4498
حسين	Ḥusayn	4443
مطبعة	Maṭbaʻat	4376
يوسف	Yūsuf	4240
مصر	Miṣr	4125
الثقافة	al-Thaqāfah	3833
)	)	3777
القاهرة	al-Qāhirah	3719
العزيز	al-ʻAzīz	3703
الإسلامية	al-Islāmīyah	3653
مصطفى	Muṣṭafá	3581
العامة	al-ʻĀmmah	3562
صالح	Ṣāliḥ	3554
جامعة	Jāmiʻat	3497
وزارة	Wizārat	3490
للدراسات	lil-Dirāsāt	3425
سعيد	Saʻīd	3324
بين	bayna	3322
إعداد	iʻdād	3285
كتاب	Kitāb	3263
عمر	ʻUmar	3190
للطباعة	lil-Ṭibāʻah	3132
المصرية	al-Miṣrīyah	3035
رواية	riwāyah	2970
احمد	Aḥmad	2920
مؤسسة	Muʼassasat	2871
أبي	Abī	2793
سليمان	Sulaymān	2761
منشورات	Manshūrāt	2740
م	M	2676
الإسلامي	al-Islāmī	2668
خالد	Khālid	2596
دراسات	Dirāsāt	2529
شعر	shiʻr	2526
,	,	2453
ابراهيم	Ibrāhīm	2451
تقديم	taqdīm	2364
إلى	ilá	2313
""""	""""	2312
تحقيق	taḥqīq	2238
السيد	al-Sayyid	2039
الدار	al-Dār	2025
العرب	al-ʻArab	1999
عن	ʻan	1941
2	2	1916
(	(	1913
n	n	1865
s	s	1863
د	D	1851
بقلم	bi-qalam	1850
الهيئة	al-Hayʼah	1841
سعد	Saʻd	1799
الكريم	al-Karīm	1792
للكتاب	lil-Kitāb	1761
بيروت	Bayrūt	1753
الإسلام	al-Islām	1748
خليل	Khalīl	1739
الدراسات	al-Dirāsāt	1727
ناصر	Nāṣir	1693
الحسن	al-Ḥasan	1692
الحميد	al-Ḥamīd	1669
سالم	Sālim	1667
الشيخ	al-Shaykh	1607
يحيى	Yaḥyá	1604
القادر	al-Qādir	1597
مع	maʻa	1596
عثمان	ʻUthmān	1580
المركز	al-Markaz	1576
جمال	Jamāl	1568
آل	Āl	1566
الفكر	al-Fikr	1562
الدكتور	al-Duktūr	1555
تاريخ	Tārīkh	1540
كلية	Kullīyat	1532
إسماعيل	Ismāʻīl	1518
المطبعة	al-Maṭbaʻah	1501
الكتب	al-Kutub	1483
الملك	al-Malik	1481
موسى	Mūsá	1480
السعودية	al-Saʻūdīyah	1478
ابو	Abū	1477
قصص	qiṣaṣ	1470
القرآن	al-Qurʼān	1411
المملكة	al-Mamlakah	1401
بكر	Bakr	1352
سيد	Sayyid	1332
عباس	ʻAbbās	1327
صلاح	Ṣalāḥ	1324
مقارنة	muqāranah	1302
السلام	al-Salām	1296
الحسين	al-Ḥusayn	1269
القرن	al-qarn	1263
الثقافية	al-Thaqāfīyah	1255
العلمي	al-ʻIlmī	1242
الكتاب	al-Kitāb	1241
الاسلامية	al-Islāmīyah	1238
البحوث	al-Buḥūth	1238
الثقافي	al-Thaqāfī	1227
المعارف	al-Maʻārif	1215
للثقافة	lil-Thaqāfah	1211
et	et	1206
أمين	Amīn	1197
لبنان	Lubnān	1176
الإمام	al-Imām	1173
وتحقيق	wa-taḥqīq	1171
الشعر	al-shiʻr	1164
المؤسسة	al-Muʼassasah	1160
قاسم	Qāsim	1155
العراق	al-ʻIrāq	1154
ديوان	Dīwān	1152
الهادي	al-Hādī	1136
al	al	1134
كمال	Kamāl	1121
--	--	1119
الفلسطينية	al-Filasṭīnīyah	1118
رقم	raqm	1108
عمان	ʻAmmān	1104
والدراسات	wa-al-Dirāsāt	1093
الى	ilá	1086
فؤاد	Fuʼād	1085
عيسى	ʻĪsá	1083
العلمية	al-ʻIlmīyah	1081
عند	ʻinda	1055
حامد	Ḥāmid	1043
والعلوم	wa-al-ʻUlūm	1036
الحديث	al-ḥadīth	1034
الوهاب	al-Wahhāb	1025
الآداب	al-Ādāb	1022
المكتبة	al-Maktabah	1014
التاريخ	al-tārīkh	1009
=	=	1007
منصور	Manṣūr	998
جعفر	Jaʻfar	997
الاسلامي	al-Islāmī	991
حمد	Ḥamad	984
الخليج	al-Khalīj	982
شرح	sharḥ	971
توفيق	Tawfīq	961
عادل	ʻĀdil	961
؟	?	959
ابي	Abī	956
المصري	al-Miṣrī	953
الفتاح	al-Fattāḥ	942
التراث	al-Turāth	939
معهد	Maʻhad	938
جمع	jamʻ	935
المجلس	al-Majlis	926
تحرير	taḥrīr	921
السياسية	al-siyāsīyah	906
نقدية	naqdīyah	899
الوطنية	al-Waṭanīyah	897
كامل	Kāmil	896
طه	Ṭāhā	894
السياسي	al-siyāsī	893
سعود	Saʻūd	877
الفقه	al-fiqh	870
الرياض	al-Riyāḍ	869
نصر	Naṣr	868
فهد	Fahd	867
زيد	Zayd	858
اللطيف	al-Laṭīf	852
سليم	Salīm	852
دمشق	Dimashq	851
الجزائر	al-Jazāʼir	842
مهدي	Mahdī	835
الشؤون	al-Shuʼūn	833
السودان	al-Sūdān	828
شركة	Sharikat	826
وتقديم	wa-taqdīm	823
الشرق	al-Sharq	823
الحسيني	al-Ḥusaynī	818
مجموعة	majmūʻah	816
المعاصر	al-muʻāṣir	812
اعداد	iʻdād	812
الرحيم	al-Raḥīm	809
تحليلية	taḥlīlīyah	803
الكويت	al-Kuwayt	803
خليفة	Khalīfah	800
والبحوث	wa-al-Buḥūth	797
عليه	ʻalayhi	797
بغداد	Baghdād	794
القانون	al-qānūn	776
حول	ḥawla	775
المجيد	al-Majīd	774
نور	Nūr	770
هاشم	Hāshim	768
علم	ʻilm	766
محسن	Muḥsin	756
تونس	Tūnis	749
نبيل	Nabīl	742
نجيب	Najīb	737
القاسم	al-Qāsim	735
المنعم	al-Munʻim	734
مجلس	Majlis	731
فلسطين	Filasṭīn	729
الأدب	al-adab	728
عدنان	ʻAdnān	726
الشروق	al-Shurūq	726
ضوء	ḍawʼ	726
اسماعيل	Ismāʻīl	724
عوض	ʻAwaḍ	723
مطابع	Maṭābiʻ	723
سنة	sanat	723
الجمهورية	al-Jumhūrīyah	722
طبعة	Ṭabʻah	721
اتحاد	Ittiḥād	721
سمير	Samīr	713
رضا	Riḍā	710
المغربية	al-Maghribīyah	710
رياض	Riyāḍ	707
رشيد	Rashīd	703
فى	fī	702
فتحي	Fatḥī	701
عبيد	ʻUbayd	699
الجامعة	al-Jāmiʻah	698
زكي	Zakī	694
عربية	ʻArabīyah	694
بيت	Bayt	694
ما	mā	692
النشر	al-Nashr	689
العلوم	al-ʻUlūm	689
الفلسطيني	al-Filasṭīnī	688
المعاصرة	al-muʻāṣirah	685
وعلق	wa-ʻallaqa	681
المغرب	al-Maghrib	679
موسوعة	Mawsūʻat	678
قسم	Qism	675
شريف	Sharīf	674
المجمع	al-Majmaʻ	670
شمس	Shams	667
المتحدة	al-Muttaḥidah	667
إبن	Ibn	664
الإمارات	al-Imārāt	664
له	la-hu	662
النهضة	al-Nahḍah	660
التعليم	al-Taʻlīm	658
جميل	Jamīl	657
سامي	Sāmī	657
والترجمة	wa-al-Tarjamah	657
اللغة	al-lughah	654
اللبنانية	al-Lubnānīyah	654
قانون	Qānūn	648
والإعلام	wa-al-Iʻlām	647
الحكمة	al-Ḥikmah	646
العالي	al-ʻĀlī	644
جمعية	Jamʻīyat	643
عبده	ʻAbduh	641
تاريخية	tārīkhīyah	641
دائرة	Dāʼirat	640
١	1	639
طاهر	Ṭāhir	636
لجنة	Lajnat	629
فيصل	Fayṣal	623
حبيب	Ḥabīb	623
قصيرة	qaṣīrah	616
ياسين	Yāsīn	615
بنت	bint	612
الرزاق	al-Razzāq	612
بدر	Badr	611
الجديدة	al-Jadīdah	608
ھ	H	608
فوزي	Fawzī	607
القومي	al-Qawmī	602
الهلال	al-Hilāl	602
القدس	al-Quds	601
مبارك	Mubārak	600
راشد	Rāshid	600
بحوث	Buḥūth	599
التي	allatī	598
رمضان	Ramaḍān	598
عامر	ʻĀmir	597
مطبوعات	Maṭbūʻāt	596
العالمية	al-ʻĀlamīyah	595
القانونية	al-qānūnīyah	591
فاروق	Fārūq	590
الغني	al-Ghanī	590
السورية	al-Sūrīyah	590
عز	ʻIzz	589
الاولى	al-ūlá	585
قصصية	qiṣaṣīyah	583
جمعة	Jumʻah	579
عشر	ʻashar	578
حتى	ḥattá	573
الجامعية	al-Jāmiʻīyah	572
هـ	H	568
جلال	Jalāl	568
أستاذ	ustādh	567
سلمان	Salmān	567
الأعلى	al-Aʻlá	567
الخرطوم	al-Kharṭūm	563
الدولة	al-dawlah	562
العصر	al-ʻaṣr	560
سلطان	Sulṭān	559
الأدبي	al-Adabī	559
الشريعة	al-sharīʻah	558
صادق	Ṣādiq	557
الشريف	al-Sharīf	557
البحث	al-Baḥth	557
عمار	ʻAmmār	555
يعقوب	Yaʻqūb	554
علاء	ʻAlāʼ	553
ع	ʻA	553
زين	Zayn	553
للبحوث	lil-Buḥūth	547
عماد	ʻImād	546
فضل	Faḍl	543
سيف	Sayf	543
الحليم	al-Ḥalīm	543
بشير	Bashīr	541
الاسلام	al-Islām	540
أسامة	Usāmah	538
بو	Bū	537
العالم	al-ʻālam	534
الإنسانية	al-Insānīyah	533
وتعليق	wa-taʻlīq	532
عبادي	ʻAbbādī	531
والثقافة	wa-al-Thaqāfah	530
إدريس	Idrīs	530
of	of	528
قراءة	qirāʼah	524
!	!	523
طالب	Ṭālib	522
إشراف	ishrāf	520
الأردن	al-Urdun	520
لأبي	li-Abī	520
عصام	ʻIṣām	518
عام	ʻām	518
حقوق	Ḥuqūq	517
ناشرون	Nāshirūn	514
هشام	Hishām	512
معجم	Muʻjam	512
المنظمة	al-Munaẓẓamah	511
الرشد	al-Rushd	508
فاطمة	Fāṭimah	508
الحضارة	al-Ḥaḍārah	507
للعلوم	lil-ʻUlūm	505
جابر	Jābir	503
حمزة	Ḥamzah	503
المرأة	al-marʼah	502
مراجعة	murājaʻat	502
?	?	501
عمرو	ʻAmr	501
ناجي	Nājī	499
آفاق	Āfāq	499
المجتمع	al-mujtamaʻ	496
جاسم	Jāsim	496
الوطني	al-Waṭanī	494
المعرفة	al-Maʻrifah	493
شاكر	Shākir	493
عطية	ʻAṭīyah	493
إدارة	Idārat	493
الشارقة	al-Shāriqah	491
الوطن	al-waṭan	490
حققه	ḥaqqaqahu	489
فارس	Fāris	488
نادي	Nādī	484
3	3	483
المؤتمر	al-Muʼtamar	483
العدد	al-ʻadad	482
مسعود	Masʻūd	481
الغرب	al-Gharb	481
حافظ	Ḥāfiẓ	481
الطيب	al-Ṭayyib	480
قضايا	Qaḍāyā	476
سلامة	Salāmah	474
وليد	Walīd	474
عالم	ʻĀlam	473
هادي	Hādī	471
أم	Umm	468
شوقي	Shawqī	466
قدم	qaddama	466
بحث	baḥth	465
الأعمال	al-Aʻmāl	464
الكاملة	al-kāmilah	463
Cairo	Cairo	459
خلف	Khalaf	458
حمدي	Ḥamdī	457
نصوص	nuṣūṣ	457
منير	Munīr	457
ه	H	453
التاريخية	al-tārīkhīyah	453
فريد	Farīd	453
مراد	Murād	451
الأمين	al-Amīn	451
رسائل	Rasāʼil	449
ندوة	Nadwat	446
اليمن	al-Yaman	445
مالك	Mālik	442
فرج	Faraj	440
الحاج	al-Ḥājj	440
زكريا	Zakarīyā	438
الوفاء	al-Wafāʼ	436
العراقي	al-ʻIrāqī	436
الأردنية	al-Urdunīyah	433
جواد	Jawād	432
الامام	al-Imām	431
رجب	Rajab	431
جمهورية	Jumhūrīyat	430
العام	al-ʻāmm	428
المسلمين	al-Muslimīn	426
وقدم	wa-qaddama	425
المعهد	al-Maʻhad	424
المنورة	al-Munawwarah	424
الرباط	al-Rabāṭ	424
