tag	subtag	field	subfield
100	0	MAIN ENTRY--PERSONAL NAME (NR)	Authority record control number or standard number (R)
100	1	MAIN ENTRY--PERSONAL NAME (NR)	Real World Object URI (R)
100	2	MAIN ENTRY--PERSONAL NAME (NR)	Source of heading or term (NR)
100	4	MAIN ENTRY--PERSONAL NAME (NR)	Relationship (R)
100	6	MAIN ENTRY--PERSONAL NAME (NR)	Linkage (NR)
100	8	MAIN ENTRY--PERSONAL NAME (NR)	Field link and sequence number (R)
100	a	MAIN ENTRY--PERSONAL NAME (NR)	Personal name (NR)
100	b	MAIN ENTRY--PERSONAL NAME (NR)	Numeration (NR)
100	c	MAIN ENTRY--PERSONAL NAME (NR)	Titles and other words associated with a name (R)
100	d	MAIN ENTRY--PERSONAL NAME (NR)	Dates associated with a name (NR)
100	e	MAIN ENTRY--PERSONAL NAME (NR)	Relator term (R)
100	f	MAIN ENTRY--PERSONAL NAME (NR)	Date of a work (NR)
100	g	MAIN ENTRY--PERSONAL NAME (NR)	Miscellaneous information (R)
100	j	MAIN ENTRY--PERSONAL NAME (NR)	Attribution qualifier (R)
100	k	MAIN ENTRY--PERSONAL NAME (NR)	Form subheading (R)
100	l	MAIN ENTRY--PERSONAL NAME (NR)	Language of a work (NR)
100	n	MAIN ENTRY--PERSONAL NAME (NR)	Number of part/section of a work (R)
100	p	MAIN ENTRY--PERSONAL NAME (NR)	Name of part/section of a work (R)
100	q	MAIN ENTRY--PERSONAL NAME (NR)	Fuller form of name (NR)
100	t	MAIN ENTRY--PERSONAL NAME (NR)	Title of a work (NR)
100	u	MAIN ENTRY--PERSONAL NAME (NR)	Affiliation (NR)
110	0	MAIN ENTRY--CORPORATE NAME (NR)	Authority record control number or standard number (R)
110	1	MAIN ENTRY--CORPORATE NAME (NR)	Real World Object URI (R)
110	2	MAIN ENTRY--CORPORATE NAME (NR)	Source of heading or term (NR)
110	4	MAIN ENTRY--CORPORATE NAME (NR)	Relationship (R)
110	6	MAIN ENTRY--CORPORATE NAME (NR)	Linkage (NR)
110	8	MAIN ENTRY--CORPORATE NAME (NR)	Field link and sequence number (R)
110	a	MAIN ENTRY--CORPORATE NAME (NR)	Corporate name or jurisdiction name as entry element (NR)
110	b	MAIN ENTRY--CORPORATE NAME (NR)	Subordinate unit (R)
110	c	MAIN ENTRY--CORPORATE NAME (NR)	Location of meeting (R)
110	d	MAIN ENTRY--CORPORATE NAME (NR)	Date of meeting or treaty signing (R)
110	e	MAIN ENTRY--CORPORATE NAME (NR)	Relator term (R)
110	f	MAIN ENTRY--CORPORATE NAME (NR)	Date of a work (NR)
110	g	MAIN ENTRY--CORPORATE NAME (NR)	Miscellaneous information (R)
110	k	MAIN ENTRY--CORPORATE NAME (NR)	Form subheading (R)
110	l	MAIN ENTRY--CORPORATE NAME (NR)	Language of a work (NR)
110	n	MAIN ENTRY--CORPORATE NAME (NR)	Number of part/section/meeting (R)
110	p	MAIN ENTRY--CORPORATE NAME (NR)	Name of part/section of a work (R)
110	t	MAIN ENTRY--CORPORATE NAME (NR)	Title of a work (NR)
110	u	MAIN ENTRY--CORPORATE NAME (NR)	Affiliation (NR)
111	0	MAIN ENTRY--MEETING NAME (NR)	Authority record control number or standard number (R)
111	1	MAIN ENTRY--MEETING NAME (NR)	Real World Object URI (R)
111	2	MAIN ENTRY--MEETING NAME (NR)	Source of heading or term (NR)
111	4	MAIN ENTRY--MEETING NAME (NR)	Relationship (R)
111	6	MAIN ENTRY--MEETING NAME (NR)	Linkage (NR)
111	8	MAIN ENTRY--MEETING NAME (NR)	Field link and sequence number (R)
111	a	MAIN ENTRY--MEETING NAME (NR)	Meeting name or jurisdiction name as entry element (NR)
111	b	MAIN ENTRY--MEETING NAME (NR)	Number (BK CF MP MU SE VM MX) [OBSOLETE]
111	c	MAIN ENTRY--MEETING NAME (NR)	Location of meeting (R)
111	d	MAIN ENTRY--MEETING NAME (NR)	Date of meeting or treaty signing (R)
111	e	MAIN ENTRY--MEETING NAME (NR)	Subordinate unit (R)
111	f	MAIN ENTRY--MEETING NAME (NR)	Date of a work (NR)
111	g	MAIN ENTRY--MEETING NAME (NR)	Miscellaneous information (R)
111	j	MAIN ENTRY--MEETING NAME (NR)	Relator term (R)
111	k	MAIN ENTRY--MEETING NAME (NR)	Form subheading (R)
111	l	MAIN ENTRY--MEETING NAME (NR)	Language of a work (NR)
111	n	MAIN ENTRY--MEETING NAME (NR)	Number of part/section/meeting (R)
