subtag	link-error	tag	link	source	id	splits	tag_description	comb.tag	comb.tag.freq	rom	ar	manual_check
a	0	245	4	loc	loc-22101	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Naẓm al-Shaykh Khalīfah ibn Ḥasan al-Sūfī ʻalá naẓm Khalīl al-musammá, Jawāhir al-iklīl.	نظم الشيخ خليفة بن حسن السوفي على نظم خليل المسمى، جواهر الاكليل.	good
a	0	245	4	loc	loc-42211	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Riḥlat al-ʻĀʼilah al-Muqaddasah ilá Miṣr =	رحلة العائلة المقدسة الى مصر =	good
a	0	245	4	loc	loc-74391	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Mujādalat Ahl al-Kitāb :	مجادلة أهل الكتاب :	good
a	0	245	4	loc	loc-49311	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Ufuq al-taḥawwulāt fī al-shiʻr al-ʻArabī :	أفق التحولات في الشعر العربي :	good
a	0	245	4	aco	aco-7203	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Nawābigh al-adab /	نوابغ الادب /	good
a	0	245	4	loc	loc-41081	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Rukn al-Dīn al-Ḥasan al-Istrābādhī wa-juhūduhu al-naḥwīyah wa-al-ṣarfīyah /	‏ركن الدين الحسن الإستراباذي وجهوده النحوية والصرفية /‏	good
a	0	245	4	loc	loc-38721	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Mudākhalāt lisānīyah :	‏مداخلات لسانية :‏	good
a	0	245	4	loc	loc-34491	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Qānā al-Jalīl fī Lubnān /	قانا الجليل في لبنان /	good
a	0	245	4	loc	loc-15801	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	al-Sīnimā al-shābbah :	‏السينما الشابة :‏	good
a	0	245	4	loc	loc-16711	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	al-Zawāj al-siyāḥī :	‏الزواج السياحي :‏	good
a	0	245	4	loc	loc-1611	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	al-Maḍāmīn al-turāthīyah fī shiʻr Abī al-ʻAlāʼ al-Maʻarrī :	‏المضامين التراثية في شعر أبي العلاء المعري :‏	good
a	0	245	4	loc	loc-80131	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Mawqif al-Islām min taʻaddud al-zawjāt /	‏موقف الإسلام من تعدد الزوجات /‏	good
a	0	245	4	loc	loc-20131	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	al-Ḥayāh umniyāt :	‏الحياة أمنيات :‏	good
a	0	245	4	loc	loc-71231	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Maqālāt wa-muḥāḍarāt al-Shaykh al-Raḥḥālī al-Fārūq /	مقالات ومحاضرات الشيخ الرحالي الفاروق /	good
a	0	245	4	loc	loc-8031	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Majmūʻ uṣūl al-dīn wa-masmūʻ maḥṣūl al-yaqīn /	مجموع أصول الدين ومسموع محصول اليقين /	good
a	0	245	4	umich	umich-2391	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	al-Qahwah al-ʻArabīyah fī al-mawrūth wa-al-adab al-shaʻbī /	القهوة العربية في الموروث و الأدب الشعبي /	good
a	0	245	4	loc	loc-72931	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Aḥmad Zakī Abū Shādī :	أحمد زكي أبو شادي :	good
a	0	245	4	umich	umich-3131	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	al-Bayānāt al-Wizārīyah al-Sūrīyah wa-munāqashātuhā fī al-majlis al-niyābī, 1918-1958 /	البيانات الوزارية السورية ومناقشاتها في المجلس النبابي ٨١٩١-٨٥٩١ /	good
a	0	245	4	loc	loc-38921	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	al-Siyāsīyah al-khārijīyah lil-ittiḥād al-Ūrūbbī tujāh duwal janūb al-Mutawassiṭ /	‏السياسية الخارجية للإتحاد الأوروبي تجاه دول جنوب المتوسط /‏	good
a	0	245	4	loc	loc-33441	dev	TITLE STATEMENT (NR) - Title (NR)	245a	10732	Qaṣāʼid malḥamīyah /	قصائد مكحمية /	good
												0
c	0	245	4	loc	loc-36251	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	Saʻūd Qabīlāt.	‏سعود قبيلات.	good
c	0	245	4	aco	aco-10023	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	Aḥmad al-Kasravī.	احمد الکسروى.	good
c	0	245	4	loc	loc-84151	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	ʻAbd al-Wahhāb Muṭāwiʻ.	عبد الوهاب مطاوع.	good
